
=== 最近三期百位连号 [9, 1, 4] 的历史中间期号及前后5期（倒序排列） ===

--- 百位连号中间期号: 2005183 前后5期 ---
期号: 2005178, 百位: 0, 十位: 7, 个位: 5, 日期: 2005-07-04
期号: 2005179, 百位: 1, 十位: 2, 个位: 3, 日期: 2005-07-05
期号: 2005180, 百位: 2, 十位: 6, 个位: 8, 日期: 2005-07-06
期号: 2005181, 百位: 0, 十位: 7, 个位: 3, 日期: 2005-07-07
期号: 2005182, 百位: 4, 十位: 3, 个位: 3, 日期: 2005-07-08
期号: 2005183, 百位: 1, 十位: 5, 个位: 3, 日期: 2005-07-09
期号: 2005184, 百位: 9, 十位: 1, 个位: 8, 日期: 2005-07-10
期号: 2005185, 百位: 8, 十位: 1, 个位: 0, 日期: 2005-07-11
期号: 2005186, 百位: 7, 十位: 5, 个位: 6, 日期: 2005-07-12
期号: 2005187, 百位: 3, 十位: 3, 个位: 2, 日期: 2005-07-13
期号: 2005188, 百位: 8, 十位: 1, 个位: 8, 日期: 2005-07-14

--- 百位连号中间期号: 2008196 前后5期 ---
期号: 2008191, 百位: 9, 十位: 5, 个位: 0, 日期: 2008-07-16
期号: 2008192, 百位: 5, 十位: 2, 个位: 4, 日期: 2008-07-17
期号: 2008193, 百位: 1, 十位: 0, 个位: 3, 日期: 2008-07-18
期号: 2008194, 百位: 8, 十位: 4, 个位: 0, 日期: 2008-07-19
期号: 2008195, 百位: 4, 十位: 0, 个位: 9, 日期: 2008-07-20
期号: 2008196, 百位: 1, 十位: 6, 个位: 1, 日期: 2008-07-21
期号: 2008197, 百位: 9, 十位: 6, 个位: 4, 日期: 2008-07-22
期号: 2008198, 百位: 9, 十位: 7, 个位: 9, 日期: 2008-07-23
期号: 2008199, 百位: 1, 十位: 6, 个位: 4, 日期: 2008-07-24
期号: 2008200, 百位: 4, 十位: 6, 个位: 5, 日期: 2008-07-25
期号: 2008201, 百位: 4, 十位: 5, 个位: 8, 日期: 2008-07-26

--- 百位连号中间期号: 2008358 前后5期 ---
期号: 2008353, 百位: 8, 十位: 1, 个位: 3, 日期: 2008-12-25
期号: 2008354, 百位: 8, 十位: 0, 个位: 1, 日期: 2008-12-26
期号: 2008355, 百位: 8, 十位: 2, 个位: 0, 日期: 2008-12-27
期号: 2008356, 百位: 3, 十位: 6, 个位: 3, 日期: 2008-12-28
期号: 2008357, 百位: 4, 十位: 7, 个位: 5, 日期: 2008-12-29
期号: 2008358, 百位: 1, 十位: 5, 个位: 9, 日期: 2008-12-30
期号: 2008359, 百位: 9, 十位: 2, 个位: 7, 日期: 2008-12-31
期号: 2009001, 百位: 6, 十位: 7, 个位: 1, 日期: 2009-01-01
期号: 2009002, 百位: 7, 十位: 5, 个位: 4, 日期: 2009-01-02
期号: 2009003, 百位: 4, 十位: 3, 个位: 8, 日期: 2009-01-03
期号: 2009004, 百位: 9, 十位: 5, 个位: 1, 日期: 2009-01-04

--- 百位连号中间期号: 2010089 前后5期 ---
期号: 2010084, 百位: 5, 十位: 5, 个位: 9, 日期: 2010-04-01
期号: 2010085, 百位: 9, 十位: 7, 个位: 2, 日期: 2010-04-02
期号: 2010086, 百位: 3, 十位: 8, 个位: 3, 日期: 2010-04-03
期号: 2010087, 百位: 6, 十位: 7, 个位: 1, 日期: 2010-04-04
期号: 2010088, 百位: 4, 十位: 7, 个位: 0, 日期: 2010-04-05
期号: 2010089, 百位: 1, 十位: 4, 个位: 9, 日期: 2010-04-06
期号: 2010090, 百位: 9, 十位: 5, 个位: 4, 日期: 2010-04-07
期号: 2010091, 百位: 9, 十位: 1, 个位: 3, 日期: 2010-04-08
期号: 2010092, 百位: 2, 十位: 2, 个位: 8, 日期: 2010-04-09
期号: 2010093, 百位: 1, 十位: 4, 个位: 4, 日期: 2010-04-10
期号: 2010094, 百位: 8, 十位: 4, 个位: 8, 日期: 2010-04-11

--- 百位连号中间期号: 2016089 前后5期 ---
期号: 2016084, 百位: 2, 十位: 8, 个位: 2, 日期: 2016-03-31
期号: 2016085, 百位: 9, 十位: 6, 个位: 7, 日期: 2016-04-01
期号: 2016086, 百位: 2, 十位: 4, 个位: 9, 日期: 2016-04-02
期号: 2016087, 百位: 0, 十位: 9, 个位: 9, 日期: 2016-04-03
期号: 2016088, 百位: 4, 十位: 7, 个位: 3, 日期: 2016-04-04
期号: 2016089, 百位: 1, 十位: 1, 个位: 1, 日期: 2016-04-05
期号: 2016090, 百位: 9, 十位: 5, 个位: 4, 日期: 2016-04-06
期号: 2016091, 百位: 4, 十位: 0, 个位: 5, 日期: 2016-04-07
期号: 2016092, 百位: 8, 十位: 7, 个位: 5, 日期: 2016-04-08
期号: 2016093, 百位: 6, 十位: 2, 个位: 2, 日期: 2016-04-09
期号: 2016094, 百位: 8, 十位: 2, 个位: 4, 日期: 2016-04-10

--- 百位连号中间期号: 2020093 前后5期 ---
期号: 2020088, 百位: 7, 十位: 4, 个位: 6, 日期: 2020-05-16
期号: 2020089, 百位: 5, 十位: 7, 个位: 7, 日期: 2020-05-17
期号: 2020090, 百位: 5, 十位: 7, 个位: 5, 日期: 2020-05-18
期号: 2020091, 百位: 0, 十位: 8, 个位: 8, 日期: 2020-05-19
期号: 2020092, 百位: 4, 十位: 9, 个位: 7, 日期: 2020-05-20
期号: 2020093, 百位: 1, 十位: 2, 个位: 4, 日期: 2020-05-21
期号: 2020094, 百位: 9, 十位: 1, 个位: 1, 日期: 2020-05-22
期号: 2020095, 百位: 7, 十位: 4, 个位: 0, 日期: 2020-05-23
期号: 2020096, 百位: 6, 十位: 6, 个位: 6, 日期: 2020-05-24
期号: 2020097, 百位: 8, 十位: 4, 个位: 0, 日期: 2020-05-25
期号: 2020098, 百位: 2, 十位: 9, 个位: 2, 日期: 2020-05-26

=== 最近三期十位连号 [1, 2, 8] 的历史中间期号及前后5期（倒序排列） ===

--- 十位连号中间期号: 2008125 前后5期 ---
期号: 2008120, 百位: 4, 十位: 8, 个位: 7, 日期: 2008-05-06
期号: 2008121, 百位: 9, 十位: 0, 个位: 4, 日期: 2008-05-07
期号: 2008122, 百位: 1, 十位: 9, 个位: 7, 日期: 2008-05-08
期号: 2008123, 百位: 5, 十位: 4, 个位: 5, 日期: 2008-05-09
期号: 2008124, 百位: 7, 十位: 8, 个位: 1, 日期: 2008-05-10
期号: 2008125, 百位: 4, 十位: 2, 个位: 2, 日期: 2008-05-11
期号: 2008126, 百位: 6, 十位: 1, 个位: 0, 日期: 2008-05-12
期号: 2008127, 百位: 5, 十位: 6, 个位: 0, 日期: 2008-05-13
期号: 2008128, 百位: 3, 十位: 8, 个位: 5, 日期: 2008-05-14
期号: 2008129, 百位: 9, 十位: 3, 个位: 1, 日期: 2008-05-15
期号: 2008130, 百位: 4, 十位: 6, 个位: 6, 日期: 2008-05-16

--- 十位连号中间期号: 2008134 前后5期 ---
期号: 2008129, 百位: 9, 十位: 3, 个位: 1, 日期: 2008-05-15
期号: 2008130, 百位: 4, 十位: 6, 个位: 6, 日期: 2008-05-16
期号: 2008131, 百位: 8, 十位: 1, 个位: 7, 日期: 2008-05-17
期号: 2008132, 百位: 2, 十位: 2, 个位: 8, 日期: 2008-05-18
期号: 2008133, 百位: 0, 十位: 8, 个位: 2, 日期: 2008-05-19
期号: 2008134, 百位: 7, 十位: 2, 个位: 1, 日期: 2008-05-20
期号: 2008135, 百位: 4, 十位: 1, 个位: 6, 日期: 2008-05-21
期号: 2008136, 百位: 2, 十位: 2, 个位: 6, 日期: 2008-05-22
期号: 2008137, 百位: 4, 十位: 2, 个位: 7, 日期: 2008-05-23
期号: 2008138, 百位: 3, 十位: 6, 个位: 4, 日期: 2008-05-24
期号: 2008139, 百位: 1, 十位: 7, 个位: 9, 日期: 2008-05-25

--- 十位连号中间期号: 2013013 前后5期 ---
期号: 2013008, 百位: 5, 十位: 5, 个位: 6, 日期: 2013-01-08
期号: 2013009, 百位: 9, 十位: 2, 个位: 1, 日期: 2013-01-09
期号: 2013010, 百位: 6, 十位: 3, 个位: 2, 日期: 2013-01-10
期号: 2013011, 百位: 2, 十位: 0, 个位: 9, 日期: 2013-01-11
期号: 2013012, 百位: 6, 十位: 8, 个位: 8, 日期: 2013-01-12
期号: 2013013, 百位: 9, 十位: 2, 个位: 2, 日期: 2013-01-13
期号: 2013014, 百位: 4, 十位: 1, 个位: 7, 日期: 2013-01-14
期号: 2013015, 百位: 2, 十位: 2, 个位: 8, 日期: 2013-01-15
期号: 2013016, 百位: 0, 十位: 3, 个位: 8, 日期: 2013-01-16
期号: 2013017, 百位: 3, 十位: 8, 个位: 0, 日期: 2013-01-17
期号: 2013018, 百位: 3, 十位: 4, 个位: 7, 日期: 2013-01-18

--- 十位连号中间期号: 2018031 前后5期 ---
期号: 2018026, 百位: 9, 十位: 3, 个位: 2, 日期: 2018-01-26
期号: 2018027, 百位: 9, 十位: 7, 个位: 3, 日期: 2018-01-27
期号: 2018028, 百位: 8, 十位: 2, 个位: 8, 日期: 2018-01-28
期号: 2018029, 百位: 3, 十位: 1, 个位: 3, 日期: 2018-01-29
期号: 2018030, 百位: 6, 十位: 8, 个位: 2, 日期: 2018-01-30
期号: 2018031, 百位: 3, 十位: 2, 个位: 8, 日期: 2018-01-31
期号: 2018032, 百位: 7, 十位: 1, 个位: 2, 日期: 2018-02-01
期号: 2018033, 百位: 7, 十位: 6, 个位: 7, 日期: 2018-02-02
期号: 2018034, 百位: 6, 十位: 7, 个位: 6, 日期: 2018-02-03
期号: 2018035, 百位: 8, 十位: 5, 个位: 6, 日期: 2018-02-04
期号: 2018036, 百位: 3, 十位: 6, 个位: 5, 日期: 2018-02-05

--- 十位连号中间期号: 2021018 前后5期 ---
期号: 2021013, 百位: 2, 十位: 4, 个位: 4, 日期: 2021-01-13
期号: 2021014, 百位: 2, 十位: 4, 个位: 8, 日期: 2021-01-14
期号: 2021015, 百位: 6, 十位: 9, 个位: 7, 日期: 2021-01-15
期号: 2021016, 百位: 6, 十位: 1, 个位: 5, 日期: 2021-01-16
期号: 2021017, 百位: 7, 十位: 8, 个位: 0, 日期: 2021-01-17
